CONCISE NET LIST - 1  
AURORA_TX3_N_UP          J402_UP          32       CON_M60ST_D4MT_SM1_M-ST-SM-QTH-030-01-L-D-A
AURORA_TX3_N_UP          R214_UP          2        RES_AAI_0402-AAI-49.9,1%,1/10W,TK
AURORA_TX3_N_UP          U101_UP          W14      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
AURORA_TX3_P_UP          J402_UP          30       CON_M60ST_D4MT_SM1_M-ST-SM-QTH-030-01-L-D-A
AURORA_TX3_P_UP          R213_UP          2        RES_AAI_0402-AAI-49.9,1%,1/10W,TK
AURORA_TX3_P_UP          U101_UP          W15      SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
AURORA_VREF_UP           J402_UP          6        CON_M60ST_D4MT_SM1_M-ST-SM-QTH-030-01-L-D-A
AURORA_VREF_UP           R430_UP          2        RES_AAI_0402-AAI-0,0%,1/10W,TK
AVIN_0V9                 C7_0V9           1        CAP_AAI_0402-1-AAI-0.1UF,10%,50V,X7R
AVIN_0V9                 R7_0V9           2        RES_AAI_0402-AAI-10,1%,1/10W,TK
AVIN_0V9                 U1_0V9           10       TPS62130A_AAI_VQFN-1-AAI-TPS62130A-Q1
AVIN_4V6                 C7_4V6           1        CAP_AAI_0402-1-AAI-0.1UF,10%,50V,X7R
AVIN_4V6                 R7_4V6           2        RES_AAI_0402-AAI-10,1%,1/10W,TK
AVIN_4V6                 U1_4V6           10       TPS62130A_AAI_VQFN-1-AAI-TPS62130A-Q1
AVIN_5VEXT               C7_5VEXT         1        CAP_AAI_0402-1-AAI-0.1UF,10%,50V,X7R
AVIN_5VEXT               R7_5VEXT         2        RES_AAI_0402-AAI-10,1%,1/10W,TK
AVIN_5VEXT               U1_5VEXT         10       TPS62130A_AAI_VQFN-1-AAI-TPS62130A-Q1
AVIN_5VISO               C7_5VISO         1        CAP_AAI_0402-1-AAI-0.1UF,10%,50V,X7R
AVIN_5VISO               R7_5VISO         2        RES_AAI_0402-AAI-10,1%,1/10W,TK
AVIN_5VISO               U1_5VISO         10       TPS62130A_AAI_VQFN-1-AAI-TPS62130A-Q1
AVIN_5VPD                C7_5VPD          1        CAP_AAI_0402-1-AAI-0.1UF,10%,50V,X7R
AVIN_5VPD                R7_5VPD          2        RES_AAI_0402-AAI-10,1%,1/10W,TK
AVIN_5VPD                U1_5VPD          10       TPS62130A_AAI_VQFN-1-AAI-TPS62130A-Q1
BASE_ADI                 C2_ADI           1        CAP_AAI_0603-AAI-100PF,5%,100V,C0G
BASE_ADI                 D2_ADI           K        SUPPR_ESD_2P_AAI_SOD882-AAI-PESD5V0X1UALD
BASE_ADI                 Q1_ADI           1        TRA_SINGLE_NPN_3P1_AAI_SOT323-AAI-PMSTA42
BASE_ADI                 R1_ADI           2        RES_AAI_0603-AAI-100K,1%,1/10W,TF
BASE_ADI                 R2_ADI           1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BASE_EMO                 C2_EMO           1        CAP_AAI_0603-AAI-100PF,5%,100V,C0G
BASE_EMO                 D2_EMO           K        SUPPR_ESD_2P_AAI_SOD882-AAI-PESD5V0X1UALD
BASE_EMO                 Q1_EMO           1        TRA_SINGLE_NPN_3P1_AAI_SOT323-AAI-PMSTA42
BASE_EMO                 R1_EMO           2        RES_AAI_0603-AAI-100K,1%,1/10W,TF
BASE_EMO                 R2_EMO           1        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BIAS_RES                 C10_RES          1        CAP_AAI_0402-2-AAI-0.1UF,10%,16V,X7R
BIAS_RES                 R4_RES           2        RES_AAI_0402-AAI-100K,1%,1/10W,TK
BIAS_RES                 R5_RES           1        RES_AAI_0402-AAI-100K,1%,1/10W,TK
BIAS_RES                 U2_RES           2        OPAMP_NCX5652_AAI_UDFN-AAI-NCV5652
BIAS_RES                 U2_RES           4        OPAMP_NCX5652_AAI_UDFN-AAI-NCV5652
BMS_AD_INH               J1               D1       CON_M48ST_Q_TH_AAI_M-ST-TH-AAI-10-910-001518
BMS_AD_INH               L1_ADI           1        IND_AAI_0603-AAI-FERR-2KOHM-25%-0.2A
BMS_AD_INH               R80_ADI          1        RES_AAI_0603-AAI-10K,1%,1/10W,TF
BMS_AD_INH_L             Q1_ADI           3        TRA_SINGLE_NPN_3P1_AAI_SOT323-AAI-PMSTA42
BMS_AD_INH_L             R3_ADI           2        RES_AAI_0402-AAI-10K,1%,1/10W,TK
BMS_AD_INH_L             U101_UP          AD17     SR6P7_BGA516_AAI_FPBGA-AAI-SR6P7G7ED1C7-ES
BOOT_R_PU1               D5_PU1           K        DIODE_SCHOT_AAI_SOD123W-AAI-PMEG10010ELRX
BOOT_R_PU1               R5_PU1           1        RES_AAI_0402-AAI-2,1%,1/16W,TK
BOOT_R_PV1               D5_PV1           K        DIODE_SCHOT_AAI_SOD123W-AAI-PMEG10010ELRX
BOOT_R_PV1               R5_PV1           1        RES_AAI_0402-AAI-2,1%,1/16W,TK
BOOT_R_PW1               D5_PW1           K        DIODE_SCHOT_AAI_SOD123W-AAI-PMEG10010ELRX
BOOT_R_PW1               R5_PW1           1        RES_AAI_0402-AAI-2,1%,1/16W,TK
BOOT_UP_PU1              C5_PU1           1        CAP_AAI_0402-AAI-47NF,10%,50V,X7R
BOOT_UP_PU1              R5_PU1           2        RES_AAI_0402-AAI-2,1%,1/16W,TK
BOOT_UP_PU1              U1_PU1           8        UCC27712_AAI_SOIC-AAI-UCC27712-Q1
BOOT_UP_PV1              C5_PV1           1        CAP_AAI_0402-AAI-47NF,10%,50V,X7R
BOOT_UP_PV1              R5_PV1           2        RES_AAI_0402-AAI-2,1%,1/16W,TK
BOOT_UP_PV1              U1_PV1           8        UCC27712_AAI_SOIC-AAI-UCC27712-Q1
BOOT_UP_PW1              C5_PW1           1        CAP_AAI_0402-AAI-47NF,10%,50V,X7R
BOOT_UP_PW1              R5_PW1           2        RES_AAI_0402-AAI-2,1%,1/16W,TK
